,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
96,99,0,0,3365706.48,1,0.99936,3893856.98,,,0.999851,43958.46,1.000097,28525.0,1.0,13.680458,0,0_0_99
287,99,0,10,3281932.57,1,1.001324,3977630.89,,,1.001078,39158.4,1.001324,139087.2,1.001132,8.009672,1,0_10_99
478,99,0,20,3239475.17,1,1.001324,4020088.29,,,1.001078,31979.36,1.001324,162955.2,1.001119,8.410215,2,0_20_99
669,99,0,30,3239475.17,1,1.001569,4020088.29,,,1.001324,66912.0,1.001569,65663.29,1.001448,7.5101852,3,0_30_99
860,99,0,40,3201133.12,1,1.001815,4058430.33,,,1.001569,36973.86,1.001815,38983.1,1.001689,6.430149,4,0_40_99
1051,99,0,50,3201133.12,1,1.00206,4058430.33,,,1.001815,49882.04,1.00206,28581.0,1.001971,3.8301945,5,0_50_99
1242,99,0,60,3201133.12,1,1.002305,4058430.33,,,1.00206,45076.32,1.002305,41289.24,1.002188,1.3494492,6,0_60_99
1433,99,0,70,3201785.06,1,1.002551,4058430.33,,,1.002305,38961.36,1.002551,40890.85,1.002425,-0.6002188,7,0_70_99
1624,99,0,80,2733205.31,1,1.00206,4527010.08,,,1.001815,14082.9,1.00206,102075.0,1.001844,-1.5801191,8,0_80_99
1815,99,0,90,2733205.31,1,1.00206,4527010.08,,,1.001815,54372.24,1.00206,19026.78,1.001996,-3.0201674,9,0_90_99
2006,99,0,100,2732838.59,1,1.00206,4527376.8,,,1.001815,48575.8,1.00206,33807.24,1.001959,-1.0502338,10,0_100_99
2197,99,0,110,2985464.2,1,1.00206,4527376.8,,,1.001815,20777.38,1.00206,37890.24,1.001901,-2.220273,11,0_110_99
2388,99,0,120,3022135.66,1,1.001815,4535526.01,,,1.001569,42483.21,1.001815,26737.1,1.00172,-0.6300211,12,0_120_99
2579,99,0,130,3022135.66,1,1.001815,4535526.01,,,1.001569,25791.92,1.001815,40820.0,1.001664,5.3703785,13,0_130_99
2770,99,0,140,3022135.66,1,1.001569,4535526.01,,,1.001324,31171.2,1.001569,64316.56,1.001404,5.710125,14,0_140_99
2961,99,0,150,3000092.03,1,1.001569,4557569.63,,,1.001324,143616.0,1.001569,69581.05,1.001489,9.800196,15,0_150_99
3152,99,0,160,3000092.03,1,1.001569,4557569.63,,,1.001324,29743.2,1.001569,75090.4,1.001393,9.570122,16,0_160_99
3343,99,0,170,3000092.03,1,1.001324,4557569.63,,,1.001078,22638.45,1.001324,89760.0,1.001128,8.729696,17,0_170_99
