,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
72,73,0,0,3352781.84,1,0.999833,2470867.73,,,0.999833,83431.04,1.000239,119626.45,1.0,-2.5600195,0,0_0_73
263,73,0,10,3162726.47,1,1.000645,2660923.1,,,1.000239,53687.7,1.000645,158687.1,1.000342,-3.4201145,1,0_10_73
454,73,0,20,3187370.58,1,1.000239,2636278.99,,,1.000239,72323.1,1.000645,65151.72,1.000453,-1.0502338,2,0_20_73
645,73,0,30,3162726.47,1,1.000645,2660923.1,,,1.000239,65495.05,1.000645,53931.42,1.000462,2.4294853,3,0_30_73
836,73,0,40,3140522.12,1,1.000645,2683127.45,,,1.000239,70819.45,1.000645,32723.82,1.000517,3.2401085,4,0_40_73
1027,73,0,50,3140522.12,1,1.000645,2683127.45,,,1.000239,90539.45,1.000645,33685.56,1.000535,3.670454,5,0_50_73
1218,73,0,60,3140522.12,1,1.000645,2683127.45,,,1.000239,137620.95,1.000645,33833.52,1.000565,5.4502487,6,0_60_73
1409,73,0,70,3140522.12,1,1.000645,2683127.45,,,1.000239,54427.2,1.000645,33808.86,1.000489,7.209778,7,0_70_73
1600,73,0,80,3166940.61,1,1.000239,2658483.34,,,0.999833,213727.36,1.000239,4067.25,1.000231,5.710125,8,0_80_73
1791,73,0,90,3142099.35,1,1.000645,2683324.6,,,1.000239,72643.55,1.000645,39850.56,1.000501,1.4603138,9,0_90_73
1982,73,0,100,3142099.35,1,1.000645,2683324.6,,,1.000239,70720.85,1.000645,54671.22,1.000468,4.210472,10,0_100_73
2173,73,0,110,3142099.35,1,1.000645,2683324.6,,,1.000239,62586.35,1.000645,57852.36,1.00045,5.389452,11,0_110_73
2364,73,0,120,3142099.35,1,1.000645,2683324.6,,,1.000239,166190.3,1.000645,85027.68,1.000507,3.8802624,12,0_120_73
2555,73,0,130,3142099.35,1,1.000645,2683324.6,,,1.000239,166362.85,1.000645,81723.24,1.000511,2.4294853,13,0_130_73
2746,73,0,140,3142099.35,1,1.000645,2683324.6,,,1.000239,184135.5,1.000645,81476.64,1.00052,2.8002262,14,0_140_73
2937,73,0,150,3134163.94,1,1.000645,2691260.0,,,1.000239,178416.7,1.000645,178020.54,1.000442,3.8301945,15,0_150_73
3128,73,0,160,3134163.94,1,1.000645,2691260.0,,,1.000239,160446.85,1.000645,182681.28,1.000429,-0.119805336,16,0_160_73
3319,73,0,170,3134163.94,1,1.000645,2691260.0,,,1.000239,160865.9,1.000645,166652.28,1.000438,-1.9699335,17,0_170_73
3510,73,0,180,2931466.14,1,1.000645,2925551.55,,,1.000239,163676.0,1.000645,166652.28,1.00044,-2.3001432,18,0_180_73
3701,73,0,190,3132019.9,1,1.000645,2925551.55,,,1.000239,176346.1,1.000645,168107.22,1.000447,-4.9501657,19,0_190_73
3892,73,0,200,3132019.9,1,1.000645,2925551.55,,,1.000239,161556.1,1.000645,168107.22,1.000438,-2.7102232,20,0_200_73
4083,73,0,210,3132019.9,1,1.000645,2925551.55,,,1.000239,159337.6,1.000645,168279.84,1.000436,-2.8699636,21,0_210_73
4274,73,0,220,3132019.9,1,1.000645,2925551.55,,,1.000239,178120.9,1.000645,173236.5,1.000445,-1.9800663,22,0_220_73
4465,73,0,230,3132019.9,1,1.000645,2925551.55,,,1.000239,163700.65,1.000645,173236.5,1.000436,-5.7697296,23,0_230_73
4656,73,0,240,3193901.26,1,1.000645,2953374.75,,,1.000239,178811.1,1.000645,178267.14,1.000442,-4.709959,24,0_240_73
4847,73,0,250,3244594.2,1,1.000239,2943615.69,,,0.999833,127980.16,1.000239,68280.5,1.000098,-1.1402369,25,0_250_73
5038,73,0,260,2382198.22,1,1.000239,3813035.23,,,0.999833,143380.16,1.000239,44715.1,1.000143,-3.61979,26,0_260_73
5229,73,0,270,2336039.8,1,1.000239,3859193.65,,,0.999833,125269.76,1.000239,37936.35,1.000145,-3.8599968,27,0_270_73
5420,73,0,280,3231582.11,1,1.000239,4016546.29,,,1.000239,53761.65,1.000645,180018.0,1.000332,-3.61979,28,0_280_73
5611,73,0,290,0.0,0,1.000239,8418033.58,,,1.000239,63153.3,1.000645,174469.5,1.000347,3.490448,29,0_290_73
5802,73,0,300,0.0,0,1.000239,8901230.63,1.000239,1.000239,1.000239,32488.7,1.000645,172102.14,1.000303,3.0696392,30,0_300_73
5993,73,0,310,0.0,0,1.000239,8901230.63,1.000239,1.000239,1.000239,44739.75,1.000645,187785.9,1.000317,1.540184,31,0_310_73
6184,73,0,320,0.0,0,1.000239,8901230.63,1.000239,1.000239,1.000239,98673.95,1.000645,182656.62,1.000381,0.41007996,32,0_320_73
6375,73,0,330,0.0,0,1.000239,8901230.63,1.000239,1.000239,1.000239,69907.4,1.000645,197107.38,1.000345,-1.4299154,33,0_330_73
6566,73,0,340,0.0,0,1.000239,8901230.63,1.000239,1.000239,1.000239,89627.4,1.000645,210004.56,1.00036,-2.359748,34,0_340_73
6757,73,0,350,0.0,0,1.000239,8901230.63,1.000239,1.000239,1.000239,97909.8,1.000645,69787.8,1.000476,-4.1800737,35,0_350_73
6948,73,0,360,0.0,0,1.000239,8938196.8,1.000239,1.000239,1.000239,104146.25,1.000645,86038.74,1.000461,-6.470084,36,0_360_73
7139,73,0,370,0.0,0,1.000239,8938196.8,1.000239,1.000239,1.000239,110579.9,1.000645,73116.9,1.000483,-5.6499243,37,0_370_73
7330,73,0,380,0.0,0,1.000239,8938196.8,1.000239,1.000239,1.000239,105773.15,1.000645,145765.26,1.00041,-4.429817,38,0_380_73
7521,73,0,390,0.0,0,1.000239,8939552.23,1.000239,1.000239,1.000239,108484.65,1.000645,142584.12,1.000414,-4.810095,39,0_390_73
7712,73,0,400,0.0,0,1.000239,8939552.23,1.000239,1.000239,1.000239,115041.55,1.000645,166233.06,1.000405,-4.51982,40,0_400_73
7903,73,0,410,0.0,0,1.000239,8939552.23,1.000239,1.000239,1.000239,137226.55,1.000645,156221.1,1.000429,-5.3298473,41,0_410_73
8094,73,0,420,0.0,0,0.999833,8939552.23,0.999833,0.999833,0.999833,80696.0,1.000239,211077.95,0.999945,-3.0601025,42,0_420_73
8285,73,0,430,0.0,0,0.999833,8939552.23,0.999833,0.999833,0.999833,120612.8,1.000239,194291.3,0.999989,-1.9598007,43,0_430_73
8476,73,0,440,0.0,0,0.999833,8939552.23,0.999833,0.999833,0.999833,128177.28,1.000239,63449.1,1.000105,-3.8701296,44,0_440_73
8667,73,0,450,0.0,0,0.999833,8939552.23,0.999833,0.999833,0.999833,151117.12,1.000239,60762.25,1.000123,-9.790063,45,0_450_73
8858,73,0,460,0.0,0,0.999833,9020877.79,0.999833,0.999833,0.999833,151437.44,1.000239,73826.75,1.000106,-11.57999,46,0_460_73
9049,73,0,470,0.0,0,0.999833,9227075.05,0.999833,0.999833,0.999833,161909.44,1.000239,78214.45,1.000107,-10.0797415,47,0_470_73
9240,73,0,480,0.0,0,0.999833,9448108.07,0.999833,0.999833,0.999833,159987.52,1.000239,51641.75,1.00014,-9.880066,48,0_480_73
9431,73,0,490,0.0,0,0.999833,9448108.07,0.999833,0.999833,0.999833,174771.52,1.000239,48412.6,1.000151,-11.389852,49,0_490_73
9622,73,0,500,0.0,0,0.999833,9448108.07,0.999833,0.999833,0.999833,174771.52,1.000239,49423.25,1.00015,-13.260245,50,0_500_73
9813,73,0,510,0.0,0,0.999022,8882230.03,0.999022,0.999022,0.999022,141047.98,0.999427,21723.66,0.999373,-7.659793,51,0_510_73
10004,73,0,520,0.0,0,0.999022,8882230.03,0.999022,0.999022,0.999022,148433.98,0.999427,174823.74,0.999208,-5.480051,52,0_520_73
10195,73,0,530,0.0,0,0.999022,8882230.03,0.999022,0.999022,0.999022,118914.6,0.999427,186449.1,0.99918,-11.429787,53,0_530_73
10386,73,0,540,0.0,0,0.999022,8882230.03,0.999022,0.999022,0.999022,130116.7,0.999427,189872.67,0.999187,-9.750128,54,0_540_73
10577,73,1,0,0.0,0,1.000092,1840903.81,,,0.999682,68689.74,1.000092,19829.04,1.0,15.170574,55,1_0_73
10768,73,1,10,0.0,0,1.000092,1840903.81,,,0.999682,31513.31,1.000092,77216.04,0.999801,19.710064,56,1_10_73
10959,73,1,20,0.0,0,0.999682,1840903.81,,,0.999273,60390.0,0.999682,69324.4,0.999463,16.770363,57,1_20_73
11150,73,1,30,0.0,0,1.000911,1840903.81,,,1.000501,32785.06,1.000911,36660.0,1.000695,0.79989433,58,1_30_73
11341,73,1,40,0.0,0,1.000911,1840903.81,,,1.000501,38941.42,1.000911,33433.92,1.000722,-2.5302172,59,1_40_73
11532,73,1,50,0.0,0,1.00132,1840903.81,,,1.000911,91894.4,1.00132,14816.7,1.001263,-9.800196,60,1_50_73
11723,73,1,60,0.0,0,1.00132,1840903.81,,,1.000911,99641.88,1.00132,5501.25,1.001299,-10.809898,61,1_60_73
11914,73,1,70,0.0,0,1.00173,1849498.86,,,1.00132,77653.2,1.00173,19323.4,1.001648,-9.430051,62,1_70_73
12105,73,1,80,0.0,0,1.00132,1849498.86,,,1.000911,54354.56,1.00132,36846.15,1.001155,-1.0502338,63,1_80_73
12296,73,1,90,0.0,0,1.000911,1849498.86,,,1.000501,73656.45,1.000911,16277.04,1.000837,0.46014786,64,1_90_73
12487,73,1,100,0.0,0,1.000501,1849498.86,,,1.000092,41562.84,1.000501,21425.11,1.000362,3.540516,65,1_100_73
12678,73,1,110,0.0,0,1.000501,1849498.86,,,1.000092,39145.26,1.000501,12434.87,1.000403,4.570484,66,1_110_73
12869,73,1,120,0.0,0,1.000092,2488047.72,,,1.000092,29914.5,1.000501,15195.46,1.000363,5.4204464,67,1_120_73
13060,73,1,130,0.0,0,1.000501,2500256.6,,,1.000501,69307.91,1.000911,22069.32,1.000812,-1.3101101,68,1_130_73
13251,73,1,140,0.0,0,1.000911,2500256.6,,,1.000911,37735.36,1.00132,32053.95,1.001132,-4.2301416,69,1_140_73
13442,73,1,150,0.0,0,1.000911,2550215.34,,,1.000911,77034.88,1.00132,28215.3,1.001211,-3.1799078,70,1_150_73
13633,73,1,160,0.0,0,1.000911,2550215.34,,,1.000911,48611.16,1.00132,46063.8,1.001121,-2.0200014,71,1_160_73
13824,73,1,170,0.0,0,1.000911,2550215.34,,,1.000911,48611.16,1.00132,43618.8,1.001127,-1.180172,72,1_170_73
14015,73,1,180,271769.68,-1,1.000911,2730491.66,,,1.000911,45482.84,1.00132,40049.1,1.001129,-1.9901991,73,1_180_73
14206,73,1,190,0.0,0,1.000911,3002261.34,,,1.000911,7405.32,1.00132,48606.6,1.000965,0.3194809,74,1_190_73
14397,73,1,200,0.0,0,1.000911,3023162.94,,,1.000911,12317.76,1.00132,53496.6,1.000987,-0.8100271,75,1_200_73
14588,73,1,210,0.0,0,1.000911,3023162.94,,,1.000911,14419.6,1.00132,54034.5,1.000997,-3.61979,76,1_210_73
14779,73,1,220,0.0,0,1.000911,3023162.94,,,1.000911,11975.6,1.00132,51589.5,1.000988,-14.129877,77,1_220_73
14970,73,1,230,0.0,0,1.000911,3023162.94,,,1.000911,19503.12,1.00132,50293.65,1.001025,-17.089844,78,1_230_73
15161,73,1,240,0.0,0,1.000911,3046848.17,,,1.000911,16985.8,1.00132,55183.65,1.001007,-15.550256,79,1_240_73
15352,73,1,250,50202.92,-1,1.000911,3065014.98,,,1.000911,24415.56,1.00132,57799.8,1.001032,-2.2900105,80,1_250_73
15543,73,1,260,152293.57,-1,1.000911,3065014.98,,,1.000911,21213.92,1.00132,65208.15,1.001011,1.219511,81,1_260_73
15734,73,1,270,581948.49,-1,1.000911,3090971.06,,,1.000501,54356.75,1.000911,41865.72,1.000733,3.5202503,82,1_270_73
15925,73,1,280,0.0,0,0.999682,3916047.19,,,0.999682,85459.41,1.000092,35579.94,0.999971,15.050173,83,1_280_73
16116,73,1,290,0.0,0,0.999682,4127358.49,,,0.999682,63539.23,1.000092,73015.8,0.999873,15.13958,84,1_290_73
