,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
937451,199,88,0,20887917.73,1,0.997618,5487274.58,,,0.998818,14108.05,1.000418,5002.0,1.0,-20.31982,4840,88_0_199
937648,199,88,10,20837918.65,1,0.999218,5537273.66,,,0.998818,31162.56,0.999218,44964.0,0.998982,-10.240078,4841,88_10_199
937845,199,88,20,20915667.22,1,0.998418,5537273.66,,,0.998018,47405.0,0.998818,91939.54,0.998291,-9.179711,4842,88_20_199
938042,199,88,30,20915667.22,1,0.998018,5537273.66,,,0.997618,73672.76,0.998018,32534.8,0.997896,-6.4599514,4843,88_30_199
938239,199,88,40,20915667.22,1,0.998018,5537273.66,,,0.997618,16784.62,0.998018,40019.8,0.997736,-6.0898066,4844,88_40_199
938436,199,88,50,20915667.22,1,0.998018,5537273.66,,,0.997618,17482.94,0.998018,45034.75,0.99773,-4.169941,4845,88_50_199
938633,199,88,60,22898680.93,1,0.997218,5537273.66,,,0.996818,81463.48,0.997218,35126.37,0.997098,6.0999393,4846,88_60_199
938830,199,88,70,22884656.19,1,0.997618,5552273.39,,,0.997218,11941.47,0.997618,30701.14,0.99733,6.5004826,4847,88_70_199
939027,199,88,80,24461052.34,1,0.997218,5552273.39,,,0.996818,40071.36,0.997218,32409.0,0.997039,9.560585,4848,88_80_199
939224,199,88,90,24558250.56,1,0.997218,5552273.39,,,0.996818,49914.76,0.997218,29816.28,0.997069,11.889935,4849,88_90_199
939421,199,88,100,24610474.6,1,0.997618,5552273.39,,,0.997218,19769.49,0.997618,34916.0,0.997363,8.100271,4850,88_100_199
939618,199,88,110,24610474.6,1,0.997618,5552273.39,,,0.997218,30065.58,0.997618,4988.0,0.997561,7.799864,4851,88_110_199
939815,199,88,120,24610474.6,1,0.998018,5552273.39,,,0.997618,56813.32,0.998018,24251.4,0.997899,0.84996223,4852,88_120_199
940012,199,88,130,24610474.6,1,0.998018,5552273.39,,,0.997618,43295.84,0.998018,7509.95,0.997959,-5.850196,4853,88_130_199
940209,199,88,140,24653798.81,1,0.998018,5552273.39,,,0.997618,41101.12,0.998018,27469.95,0.997858,-6.4498186,4854,88_140_199
940406,199,88,150,24653798.81,1,0.998418,5552273.39,,,0.998018,35004.85,0.998418,67392.0,0.998155,-4.940033,4855,88_150_199
940603,199,88,160,24653798.81,1,0.998018,5552273.39,,,0.997618,55790.78,0.998018,58757.25,0.997813,-0.6699562,4856,88_160_199
940800,199,88,170,24653798.81,1,0.998018,5552273.39,,,0.997618,38332.78,0.998018,41791.25,0.99781,-3.7801266,4857,88_170_199
940997,199,88,180,24322629.87,1,0.998018,6099438.37,,,0.998018,27445.0,0.998418,78199.68,0.998122,-4.0102005,4858,88_180_199
941194,199,88,190,24373878.93,1,0.998418,6100688.35,,,0.998018,52145.5,0.998418,70062.72,0.998189,5.9497356,4859,88_190_199
941391,199,88,200,24548875.73,1,0.998418,6100688.35,,,0.998018,24675.55,0.998418,29852.16,0.998199,7.9894066,4860,88_200_199
941588,199,88,210,24548875.73,1,0.998818,6100688.35,,,0.998418,59504.64,0.998818,45595.22,0.998645,9.670258,4861,88_210_199
941785,199,88,220,24548875.73,1,0.998818,6100688.35,,,0.998418,59130.24,0.998818,43098.22,0.99865,7.380247,4862,88_220_199
941982,199,88,230,24548875.73,1,0.998818,6100688.35,,,0.998418,67566.72,0.998818,52511.91,0.998643,9.28998,4863,88_230_199
