,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
390569,69,37,0,1530007.23,1,0.99977,840140.43,,,0.999188,81488.82,1.000352,35394.21,1.0,-4.6402216,2035,37_0_69
390763,69,37,10,1434155.16,1,0.99977,935992.49,,,0.999188,72852.31,0.99977,56779.9,0.999515,1.9705296,2036,37_10_69
390957,69,37,20,1434155.16,1,0.99977,935992.49,,,0.999188,83154.31,0.99977,8675.9,0.999715,1.360178,2037,37_20_69
391151,69,37,30,1434155.16,1,0.99977,935992.49,,,0.999188,86588.31,0.99977,29360.62,0.999623,7.6794624,2038,37_30_69
391345,69,37,40,1434155.16,1,0.99977,935992.49,,,0.999188,86588.31,0.99977,26096.42,0.999636,7.1895123,2039,37_40_69
391539,69,37,50,1434155.16,1,0.99977,935992.49,,,0.999188,88305.31,0.99977,20134.96,0.999662,7.5805187,2040,37_50_69
391733,69,37,60,1434155.16,1,0.99977,935992.49,,,0.999188,96958.99,0.99977,20444.2,0.999669,9.460449,2041,37_60_69
391927,69,37,70,1434155.16,1,0.99977,935992.49,,,0.999188,96512.57,0.99977,41060.2,0.999597,7.560253,2042,37_70_69
392121,69,37,80,1434155.16,1,0.99977,935992.49,,,0.999188,146151.04,0.99977,25598.2,0.999684,7.9894066,2043,37_80_69
392315,69,37,90,1434137.98,1,1.000352,935992.49,,,0.99977,117373.76,1.000352,47220.93,1.000185,2.0301342,2044,37_90_69
392509,69,37,100,1425992.79,1,1.000352,944137.69,,,0.99977,176696.3,1.000352,46791.18,1.00023,3.2496452,2045,37_100_69
392703,69,37,110,1425992.79,1,1.000352,944137.69,,,0.99977,176696.3,1.000352,57105.18,1.00021,1.4996529,2046,37_110_69
392897,69,37,120,1425992.79,1,1.000352,944137.69,,,0.99977,180939.76,1.000352,58927.32,1.000209,3.4105778,2047,37_120_69
393091,69,37,130,1425992.79,1,1.000352,944137.69,,,0.99977,188258.44,1.000352,83371.5,1.000174,3.3295155,2048,37_130_69
393285,69,37,140,1425528.82,1,1.000934,944601.65,,,1.000352,208033.38,1.000934,987710.0,1.000453,-0.34987926,2049,37_140_69
393479,69,37,150,1420098.69,1,1.000934,950031.78,,,1.000352,180460.62,1.000934,1010242.0,1.00044,-0.5400181,2050,37_150_69
393673,69,37,160,1420098.69,1,1.000934,950031.78,,,1.000352,192493.62,1.000934,987778.8,1.000447,-5.33998,2051,37_160_69
393867,69,37,170,1335862.98,1,1.000352,1034267.5,,,0.99977,116549.12,1.000352,92929.14,1.000094,-3.6901236,2052,37_170_69
394061,69,37,180,1415355.92,1,1.000352,1042412.69,,,0.99977,145789.48,1.000352,36219.33,1.000236,-6.800294,2053,37_180_69
394255,69,37,190,1555525.39,1,1.000352,1042412.69,,,0.99977,147507.48,1.000352,63774.9,1.000177,-7.119775,2054,37_190_69
394449,69,37,200,1557243.79,1,1.000352,1042412.69,,,0.99977,130327.48,1.000352,168633.9,1.000024,-6.979704,2055,37_200_69
394643,69,37,210,1558962.18,1,1.000352,1042412.69,,,0.99977,132474.98,1.000352,175011.39,1.000021,-8.820295,2056,37_210_69
394837,69,37,220,1495725.25,1,0.99977,1107385.2,,,0.999188,111759.53,0.99977,30941.18,0.999644,-4.6002865,2057,37_220_69
